FIPS_people,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
5047,93.78,0.68,0.89,1.01,2.05,1.69
5049,96.41,0.32,0.23,0.65,0.79,1.67
5051,83.96,7.86,0.72,0.55,4.81,2.31
5053,94.11,2.16,0.26,0.42,2.2,1.06
5055,95.43,0.55,0.25,0.46,2.14,1.34
5057,56.48,29.29,0.36,0.34,12,1.91
5059,84.14,10.76,0.28,0.44,2.79,1.74
5061,67.39,20.4,0.61,0.68,9.78,1.27
5063,89.81,1.93,0.75,0.39,5.84,1.53
5065,94.96,1.28,0.28,0.74,1.52,1.3
5067,78.79,16.6,0.29,0.48,2.42,1.49
5069,41.39,54.87,0.77,0.26,1.57,1.21
5071,83.51,1.32,0.69,0.82,12.11,1.93
5073,59.95,37.11,0.34,0.14,1.71,0.8
5075,96.74,0.77,0.13,0.35,0.91,1.18
5077,41.44,55.07,0.39,0.38,1.61,1.16
5079,65.77,29.79,0.14,0.25,3.2,0.99
5081,74.64,19.04,0.3,1.41,2.71,2
5083,92.19,1.27,1.61,1.02,2.28,1.83
5085,87.93,5.94,0.77,0.48,3.29,1.81
5087,91.95,0.17,0.52,1.09,4.83,1.72
5089,95.86,0.17,0.22,0.59,1.72,1.6
5091,70.62,24.36,0.45,0.64,2.39,1.7
5093,60.47,33.91,0.49,0.26,3.65,1.5
5095,55.82,40.67,0.44,0.36,1.62,1.18
5097,92.82,0.18,0.52,0.79,3.81,1.99
5099,65.14,30.65,0.26,0.31,2.45,1.36
5101,94.77,0.06,0.26,1.01,1.69,2.18
5103,56.3,39.95,0.36,0.31,1.56,1.61
5105,93.62,1.88,0.16,0.56,2.36,1.63
5107,34.63,62.75,0.29,0.18,1.32,0.95
5109,88.24,2.9,0.49,0.56,6.44,1.64
5111,89.01,7.18,0.18,0.23,2.21,1.34
5113,89.77,0.26,0.43,1.68,5.76,2.31
5115,86.9,2.83,0.97,0.64,6.75,2.21
5117,85.71,12.17,0.06,0.3,0.93,0.92
5119,55.31,34.81,1.94,0.33,5.79,2.05
5121,95.87,0.71,0.16,0.5,1.57,1.4
5123,42.37,51.54,0.47,0.45,4.07,1.45
5125,88.97,4.62,0.86,0.46,3.82,1.43
5127,85.35,0.45,3.37,1.69,6.96,2.51
5129,95.18,0.04,0.13,1.11,1.48,2.21
5131,72.83,6.24,4.01,1.74,12.28,3.59
5133,61.06,4.2,0.36,1.9,30.6,3.07
5135,94.99,0.53,0.28,0.95,1.68,1.71
5137,96.11,0.09,0.36,0.66,1.27,1.61
5139,61.77,32.84,0.47,0.31,3.51,1.25
5141,94.14,0.38,0.32,0.65,2.75,1.96
5143,74.14,2.87,2.15,1.06,15.49,2.81
5145,89.56,3.94,0.53,0.55,3.74,1.83
5147,69.44,27.4,0.21,0.23,1.2,1.43
5149,76.72,1.3,1.25,0.57,19.07,1.75
,,,,,,
6001,34.07,12.19,25.86,0.28,22.51,6.03
6003,72.51,0,0.6,17.87,7.15,2.38
6005,79.61,2.46,1.04,1.44,12.49,3.56
6007,75.19,1.42,4.06,1.54,14.14,4.75
6009,83.54,0.78,1.16,1.15,10.32,3.95
6011,39.8,0.78,1.25,1.38,55.11,3.57
6013,47.75,8.92,14.19,0.28,24.36,5.93
6015,64.71,3.38,3.28,6.76,17.8,4.54
6017,79.91,0.72,3.39,0.86,12.08,3.82
6019,32.73,4.84,9.33,0.64,50.31,4.54
6021,55.89,0.68,2.4,1.7,37.48,3.61
6023,77.22,1.03,2.12,5.17,9.81,5.33
6025,13.71,2.93,1.26,0.94,80.37,4.42
6027,66.3,0.55,1.23,10.22,19.4,3.45
6029,38.56,5.4,3.94,0.7,49.19,4.51
6031,35.22,6.74,3.49,0.85,50.9,4.9
6033,74.13,1.83,1.07,2.37,17.15,4.74
6035,66.69,8,0.97,2.86,17.53,3.47
6037,27.79,8.3,13.5,0.19,47.74,4.47
6039,38.03,3.32,1.68,1.19,53.69,4.18
6041,72.83,2.62,5.38,0.21,15.48,4.24
6043,83.24,0.71,1.1,2.51,9.18,4.08
6045,68.59,0.62,1.6,3.97,22.2,4.52
6047,31.9,3.43,7.11,0.44,54.92,4.66
6049,78.97,0.79,0.72,3.02,13.86,3.83
6051,68.21,0.3,1.34,1.68,26.49,2.92
6053,32.87,2.72,5.73,0.33,55.41,5.15
6055,56.39,1.79,6.58,0.4,32.25,4.09
6057,86.55,0.35,1.14,0.8,8.54,3.16
6059,44.13,1.46,17.69,0.21,33.65,4.25
6061,76.14,1.27,5.73,0.6,12.83,4.34
6063,85.05,0.9,0.63,2.3,8.02,3.62
6065,39.69,5.97,5.75,0.5,45.45,4.78
6067,48.43,9.86,14.02,0.56,21.58,6.59
6069,38.27,0.64,2.35,0.42,56.43,4.89
6071,33.29,8.39,6.09,0.42,49.19,5.03
6073,48.46,4.74,10.6,0.46,32.03,5.12
6075,41.91,5.81,33,0.23,15.12,4.68
6077,35.88,7.08,13.8,0.46,38.86,6.39
6079,71.09,1.9,3.01,0.51,20.76,3.75
6081,42.26,2.61,24.49,0.16,25.4,5.32
6083,47.92,1.71,4.62,0.43,42.86,4.59
6085,35.19,2.38,31.74,0.23,26.9,4.9
6087,59.61,0.88,4.06,0.37,32.05,4.69
6089,82.41,0.81,2.42,2.35,8.4,4.42
6091,88.12,0.15,0.37,1.27,8.3,2.44
6093,79.47,1.23,1.18,3.45,10.28,5.29
6095,40.8,14.21,14.28,0.45,24.04,7.59
6097,66.14,1.4,3.67,0.74,24.89,4.44
6099,46.73,2.54,4.8,0.56,41.92,5.4
6101,50.44,1.81,14.19,0.98,28.76,5.59
6103,71.86,0.55,0.98,1.9,21.91,4.26
6105,83.55,0.33,0.67,4.05,6.96,5.16
6107,32.55,1.24,3.21,0.75,60.62,4.17
6109,81.87,2.01,0.96,1.5,10.69,3.65
6111,48.69,1.59,6.57,0.29,40.27,4.49
6113,49.91,2.37,12.77,0.55,30.35,5.83
6115,58.78,2.94,6.53,1.75,25.02,7.05
,,,,,,
8001,53.21,2.76,3.49,0.56,38.02,3.96
8003,49.64,0.89,0.84,0.87,46.03,4.37
8005,63.24,9.73,5,0.42,18.45,4.26
8007,78.17,0.27,0.65,1.37,17.78,2.82
8009,87.72,0.53,0.16,1.03,9.19,1.56
8011,58.96,7.56,0.86,1.4,30.54,1.94
8013,79.35,0.77,4.07,0.36,13.33,2.68
8014,79.37,0.95,6.03,0.44,11.12,2.81
8015,86.57,1.5,0.58,0.8,9.42,1.59
8017,88.07,0.38,0.54,0.6,9.69,0.98
8019,92.11,0.55,0.56,0.62,4.72,1.72
8021,41.8,0.15,0.22,0.57,55.96,4.08
8023,30.82,0.17,0.96,0.82,66.03,4.34
8025,57.86,9.53,1.01,1.56,28.95,1.73
8027,91.99,0.96,0.38,0.54,4.7,1.67
8029,82.98,0.44,0.47,0.61,14.04,2.26
8031,52.15,9.73,3.32,0.59,31.82,4.09
8033,90.94,0.15,0.1,2.66,3.97,2.42
8035,85.23,1.14,3.7,0.28,7.49,2.59
8037,67.25,0.47,0.99,0.26,30.06,2.12
8039,90.99,0.69,0.71,0.55,5.35,1.9
8041,71.99,5.75,2.65,0.59,15.05,5.11
8043,80.4,3.85,0.59,1.47,12.32,1.88
8045,68.78,0.42,0.61,0.53,28.34,2.59
8047,90.92,0.51,1.38,0.62,4.91,1.78
8049,89.69,0.34,0.82,0.35,7.52,1.62
8051,89.13,0.29,0.61,0.4,8.19,1.97
8053,93.24,0.36,0.36,0.83,2.85,1.78
8055,61.85,0.33,0.28,0.8,35.29,3.87
8057,87.45,0,0.07,0.93,10.76,1.15
8059,79.91,0.94,2.56,0.49,14.3,2.72
8061,93.28,0.21,0,0.21,5.58,1.5
8063,76.42,2.62,0.41,0.58,19.03,1.37
8065,58.17,0.3,0.38,0.63,39.1,3.6
8067,80.35,0.34,0.52,4.98,11.8,3.12
8069,84.45,0.75,1.89,0.43,10.56,2.64
8071,54.16,1.26,0.63,1.1,41.57,3.42
8073,79.48,5.12,0.71,0.7,12.49,1.9
8075,78.18,3.88,0.52,0.78,15.64,1.52
8077,83.11,0.53,0.72,0.61,13.33,2.65
8079,95.22,0.28,0.14,0.56,2.95,1.4
8081,82.73,0.23,0.55,0.71,14.39,2.22
8083,75.07,0.18,0.46,11.45,11.04,2.64
8085,77.5,0.29,0.57,0.49,19.69,2.42
8087,61.69,2.68,0.48,0.36,33.76,2.36
8089,56.5,0.49,0.72,0.59,40.34,3.81
8091,93.39,0.14,0.56,0.32,4.42,1.35
8093,91.58,0.43,0.61,0.72,4.83,2.36
8095,79.38,0.32,0.59,0.29,18.69,1.35
8097,87.86,0.48,1.19,0.15,9.1,1.41
8099,62.73,0.43,0.3,0.52,35.19,2.57
8101,54.1,1.66,0.71,0.62,41.37,3.68
8103,86.35,0.74,0.33,0.66,9.98,2.28
8105,55.08,0.21,0.33,0.87,42.45,3.24
8107,90.65,0.39,0.62,0.29,6.81,1.56
8109,56.42,0.18,0.77,1.11,40.14,2.82
8111,85.12,0,1,0.14,12.02,2.29
8113,88.52,0.26,0.71,0.45,8.56,1.77
8115,85.58,0.29,0.71,0.34,12.15,1.64
8117,82.72,0.74,0.96,0.2,14.25,1.55
8119,90.57,0.45,0.66,0.72,5.54,2.48
8121,89.45,0.62,0.23,0.15,8.45,1.52
8123,67.57,0.81,1.14,0.56,28.35,2.94
8125,77.91,0.16,0.2,0.33,20.79,1.08
,,,,,,
9001,66.18,10.11,4.56,0.11,16.91,2.62
9003,66.14,12.3,4.2,0.14,15.3,2.67
9005,91.3,1.16,1.51,0.15,4.49,1.6
9007,86.4,4.38,2.54,0.13,4.73,2.06
9009,67.52,11.8,3.47,0.16,15.04,2.64
9011,78.31,5.29,4.1,0.76,8.47,3.66
9013,87.49,3.08,3.33,0.14,4.32,1.8
9015,85.4,1.68,1.15,0.37,9.58,2.29
,,,,,,
10001,65.24,23.3,2.01,0.56,5.76,3.53
10003,61.62,23.11,4.3,0.18,8.71,2.52
10005,75.59,12.45,0.97,0.47,8.6,2.3
,,,,,,
,,,,,,
,,,,,,
12001,63.66,19.98,5.3,0.24,8.39,2.65
12003,82.44,13.46,0.48,0.27,1.92,1.57
12005,79.24,10.57,1.95,0.61,4.8,3.1
12007,73.86,20.26,0.52,0.3,3.58,1.58
12009,77.56,9.69,2.04,0.31,8.09,2.64
12011,43.52,25.72,3.19,0.19,25.07,2.91
12013,77.65,13.61,0.49,0.98,5.16,2.37
12015,86.03,5.39,1.18,0.22,5.76,1.67
12017,89.6,2.67,1.4,0.3,4.66,1.61
12019,77.15,9.48,2.84,0.38,7.65,2.95
12021,65.67,6.19,1.05,0.19,25.87,1.92
12023,74.74,17.27,0.9,0.47,4.85,1.93
12027,56.08,12.44,0.48,0.18,29.9,2.39
12029,86.59,8.31,0.29,0.38,3.12,1.5
12031,56.56,28.93,4.09,0.33,7.57,2.85
12033,66.16,22.66,2.69,0.8,4.72,3.15
12035,76.14,10.94,2.11,0.23,8.62,2.28
12037,79.56,13.63,0.23,0.45,4.58,1.7
12039,33.06,55.79,0.48,0.2,9.53,1.31
12041,87.86,5.22,0.35,0.37,4.99,1.46
12043,61.68,11.94,0.36,4.02,21.11,1.72
12045,74.9,18.51,0.26,0.37,4.27,1.8
12047,54.9,34.04,0.49,0.47,8.82,1.74
12049,48.01,6.77,1.06,0.33,42.89,1.97
12051,34.87,12.92,0.7,1.48,49.16,2.68
12053,82.1,4.73,1.05,0.28,10.3,2.03
12055,70.66,8.86,1.42,0.38,17.37,2.22
12057,53.74,15.56,3.36,0.24,24.95,3.15
12059,88.93,5.72,0.42,0.72,2.23,1.95
12061,77.36,8.75,1.19,0.2,11.2,1.63
12063,66.56,26.35,0.46,0.61,4.31,1.85
12065,58.72,35.86,0.33,0.22,3.7,1.28
12067,70.64,15.74,0.15,0.23,12.13,1.35
12069,74.52,9.36,1.7,0.32,12.12,2.25
12071,70.96,7.72,1.33,0.21,18.31,2.08
12073,59.34,29.91,2.89,0.25,5.58,2.22
12075,80.78,9.21,0.56,0.32,7.47,1.94
12077,73.63,17.6,0.19,0.92,6.19,1.7
12079,55.05,38.61,0.22,0.4,4.68,1.31
12081,73.4,8.43,1.61,0.19,14.85,2.01
12083,73.99,11.87,1.31,0.3,10.91,2.06
12085,80.33,5.12,1.03,0.17,12.22,1.59
12086,15.36,17.05,1.44,0.08,65.05,2.36
12087,71.27,5.27,1.07,0.34,20.62,1.78
12089,87.85,6.25,0.84,0.34,3.25,1.58
12091,77.15,9.03,2.87,0.49,6.8,3.93
12093,65.65,7.79,0.86,0.72,23.9,1.88
12095,45.97,19.48,4.85,0.21,26.9,3.43
12097,40.3,9.12,2.65,0.22,45.46,4.06
12099,60.11,16.76,2.31,0.16,19,2.29
12101,80.1,4.09,2.07,0.27,11.74,2.25
12103,76.9,10.03,2.92,0.23,7.99,2.18
12105,64.57,14.17,1.59,0.28,17.69,2.45
12107,72.59,15.92,0.6,0.36,9.02,1.74
12109,85.35,5.47,2.03,0.24,5.25,1.77
12111,61.21,18.49,1.52,0.24,16.56,2.62
