state_police,county_police,number_police,foreign_police
Mississippi,Wilkinson,16,Mississippi Wilkinson
Mississippi,Winston,10,Mississippi Winston
Mississippi,Yalobusha,14,Mississippi Yalobusha
Mississippi,Yazoo,17,Mississippi Yazoo
Missouri,Adair,38,Missouri Adair
Missouri,Andrew,14,Missouri Andrew
Missouri,Atchison,10,Missouri Atchison
Missouri,Audrain,42,Missouri Audrain
Missouri,Barry,35,Missouri Barry
Missouri,Barton,16,Missouri Barton
Missouri,Bates,41,Missouri Bates
Missouri,Benton,23,Missouri Benton
Missouri,Bollinger,10,Missouri Bollinger
Missouri,Boone,78,Missouri Boone
Missouri,Buchanan,103,Missouri Buchanan
Missouri,Butler,42,Missouri Butler
Missouri,Caldwell,38,Missouri Caldwell
Missouri,Callaway,23,Missouri Callaway
Missouri,Camden,107,Missouri Camden
Missouri,Cape Girardeau,71,Missouri Cape Girardeau
Missouri,Carroll,10,Missouri Carroll
Missouri,Carter,9,Missouri Carter
Missouri,Cass,92,Missouri Cass
Missouri,Cedar,18,Missouri Cedar
Missouri,Christian,78,Missouri Christian
Missouri,Clark,14,Missouri Clark
Missouri,Clay,186,Missouri Clay
Missouri,Clinton,29,Missouri Clinton
Missouri,Cole,71,Missouri Cole
Missouri,Cooper,9,Missouri Cooper
Missouri,Crawford,37,Missouri Crawford
Missouri,Dade,7,Missouri Dade
Missouri,Dallas,22,Missouri Dallas
Missouri,Daviess,6,Missouri Daviess
Missouri,De Kalb,11,Missouri De Kalb
Missouri,Dent,17,Missouri Dent
Missouri,Douglas,9,Missouri Douglas
Missouri,Dunklin,11,Missouri Dunklin
Missouri,Franklin,136,Missouri Franklin
Missouri,Gasconade,14,Missouri Gasconade
Missouri,Greene,302,Missouri Greene
Missouri,Grundy,14,Missouri Grundy
Missouri,Harrison,11,Missouri Harrison
Missouri,Henry,36,Missouri Henry
Missouri,Hickory,14,Missouri Hickory
Missouri,Holt,9,Missouri Holt
Missouri,Howard,11,Missouri Howard
Missouri,Howell,34,Missouri Howell
Missouri,Iron,12,Missouri Iron
Missouri,Jackson,140,Missouri Jackson
Missouri,Jasper,165,Missouri Jasper
Missouri,Jefferson,199,Missouri Jefferson
Missouri,Johnson,39,Missouri Johnson
Missouri,Knox,5,Missouri Knox
Missouri,Laclede,23,Missouri Laclede
Missouri,Lafayette,40,Missouri Lafayette
Missouri,Lawrence,39,Missouri Lawrence
Missouri,Lewis,11,Missouri Lewis
Missouri,Lincoln,86,Missouri Lincoln
Missouri,Linn,6,Missouri Linn
Missouri,Livingston,17,Missouri Livingston
Missouri,Macon,15,Missouri Macon
Missouri,Madison,10,Missouri Madison
Missouri,Maries,9,Missouri Maries
Missouri,Marion,37,Missouri Marion
Missouri,McDonald,29,Missouri McDonald
Missouri,Mercer,8,Missouri Mercer
Missouri,Miller,16,Missouri Miller
Missouri,Mississippi,41,Missouri Mississippi
Missouri,Moniteau,9,Missouri Moniteau
Missouri,Monroe,8,Missouri Monroe
Missouri,Montgomery,15,Missouri Montgomery
Missouri,Morgan,42,Missouri Morgan
Missouri,New Madrid,28,Missouri New Madrid
Missouri,Newton,55,Missouri Newton
Missouri,Nodaway,11,Missouri Nodaway
Missouri,Oregon,10,Missouri Oregon
Missouri,Osage,15,Missouri Osage
Missouri,Ozark,14,Missouri Ozark
Missouri,Pemiscot,50,Missouri Pemiscot
Missouri,Perry,25,Missouri Perry
Missouri,Pettis,43,Missouri Pettis
Missouri,Phelps,62,Missouri Phelps
Missouri,Pike,27,Missouri Pike
Missouri,Platte,115,Missouri Platte
Missouri,Polk,36,Missouri Polk
Missouri,Pulaski,37,Missouri Pulaski
Missouri,Putnam,4,Missouri Putnam
Missouri,Ralls,6,Missouri Ralls
Missouri,Randolph,37,Missouri Randolph
Missouri,Ray,33,Missouri Ray
Missouri,Reynolds,16,Missouri Reynolds
Missouri,Ripley,9,Missouri Ripley
Missouri,Saline,33,Missouri Saline
Missouri,Schuyler,8,Missouri Schuyler
Missouri,Scotland,6,Missouri Scotland
Missouri,Scott,39,Missouri Scott
Missouri,Shannon,8,Missouri Shannon
Missouri,Shelby,9,Missouri Shelby
Missouri,St. Charles,226,Missouri St. Charles
Missouri,St. Clair,66,Missouri St. Clair
Missouri,St. Francois,67,Missouri St. Francois
Missouri,St. Louis County Police Department,"1,028",Missouri St. Louis County Police Department
Missouri,Ste. Genevieve,54,Missouri Ste. Genevieve
Missouri,Stoddard,23,Missouri Stoddard
Missouri,Stone,54,Missouri Stone
Missouri,Sullivan,5,Missouri Sullivan
Missouri,Taney,61,Missouri Taney
Missouri,Texas,13,Missouri Texas
Missouri,Vernon,23,Missouri Vernon
Missouri,Warren,62,Missouri Warren
Missouri,Washington,32,Missouri Washington
Missouri,Wayne,16,Missouri Wayne
Missouri,Webster,28,Missouri Webster
Missouri,Worth,4,Missouri Worth
Missouri,Wright,13,Missouri Wright
Montana,Beaverhead,21,Montana Beaverhead
Montana,Big Horn,32,Montana Big Horn
Montana,Blaine,13,Montana Blaine
Montana,Broadwater,22,Montana Broadwater
Montana,Carbon,13,Montana Carbon
Montana,Carter,3,Montana Carter
Montana,Cascade,129,Montana Cascade
Montana,Chouteau,18,Montana Chouteau
Montana,Custer,15,Montana Custer
Montana,Daniels,4,Montana Daniels
Montana,Dawson,6,Montana Dawson
Montana,Deer Lodge,18,Montana Deer Lodge
Montana,Fallon,9,Montana Fallon
Montana,Fergus,15,Montana Fergus
Montana,Flathead,105,Montana Flathead
Montana,Gallatin,66,Montana Gallatin
Montana,Garfield,2,Montana Garfield
Montana,Glacier,19,Montana Glacier
Montana,Golden Valley,2,Montana Golden Valley
Montana,Granite,9,Montana Granite
Montana,Hill,28,Montana Hill
Montana,Jefferson,23,Montana Jefferson
Montana,Judith Basin,5,Montana Judith Basin
Montana,Lake,56,Montana Lake
Montana,Lewis and Clark,75,Montana Lewis and Clark
Montana,Liberty,10,Montana Liberty
Montana,Lincoln,36,Montana Lincoln
Montana,Madison,19,Montana Madison
Montana,McCone,4,Montana McCone
Montana,Meagher,8,Montana Meagher
Montana,Mineral,15,Montana Mineral
Montana,Missoula,160,Montana Missoula
Montana,Musselshell,9,Montana Musselshell
Montana,Park,22,Montana Park
Montana,Petroleum,1,Montana Petroleum
Montana,Phillips,11,Montana Phillips
Montana,Pondera,10,Montana Pondera
Montana,Powder River,7,Montana Powder River
Montana,Powell,17,Montana Powell
Montana,Prairie,3,Montana Prairie
Montana,Ravalli,61,Montana Ravalli
Montana,Richland,14,Montana Richland
Montana,Roosevelt,25,Montana Roosevelt
Montana,Rosebud,25,Montana Rosebud
Montana,Sanders,21,Montana Sanders
Montana,Sheridan,8,Montana Sheridan
Montana,Silver Bow,98,Montana Silver Bow
Montana,Stillwater,13,Montana Stillwater
Montana,Sweet Grass,12,Montana Sweet Grass
Montana,Teton,12,Montana Teton
Montana,Toole,20,Montana Toole
Montana,Treasure,2,Montana Treasure
Montana,Valley,13,Montana Valley
Montana,Wheatland,9,Montana Wheatland
Montana,Wibaux,1,Montana Wibaux
Montana,Yellowstone,147,Montana Yellowstone
Nebraska,Adams,19,Nebraska Adams
Nebraska,Antelope,12,Nebraska Antelope
Nebraska,Arthur,1,Nebraska Arthur
Nebraska,Banner,1,Nebraska Banner
Nebraska,Blaine,1,Nebraska Blaine
Nebraska,Boone,12,Nebraska Boone
Nebraska,Box Butte,20,Nebraska Box Butte
Nebraska,Brown,9,Nebraska Brown
Nebraska,Buffalo,44,Nebraska Buffalo
Nebraska,Burt,9,Nebraska Burt
Nebraska,Butler,8,Nebraska Butler
Nebraska,Cass,74,Nebraska Cass
Nebraska,Cedar,10,Nebraska Cedar
Nebraska,Chase,8,Nebraska Chase
Nebraska,Cherry,12,Nebraska Cherry
Nebraska,Cheyenne,8,Nebraska Cheyenne
Nebraska,Colfax,9,Nebraska Colfax
Nebraska,Cuming,6,Nebraska Cuming
Nebraska,Custer,7,Nebraska Custer
Nebraska,Dakota,17,Nebraska Dakota
Nebraska,Dawes,9,Nebraska Dawes
Nebraska,Dawson,60,Nebraska Dawson
Nebraska,Deuel,5,Nebraska Deuel
Nebraska,Dixon,12,Nebraska Dixon
Nebraska,Douglas,191,Nebraska Douglas
Nebraska,Dundy,8,Nebraska Dundy
Nebraska,Fillmore,11,Nebraska Fillmore
Nebraska,Franklin,7,Nebraska Franklin
Nebraska,Frontier,8,Nebraska Frontier
Nebraska,Furnas,10,Nebraska Furnas
Nebraska,Gage,15,Nebraska Gage
Nebraska,Garden,9,Nebraska Garden
Nebraska,Garfield,1,Nebraska Garfield
Nebraska,Gosper,5,Nebraska Gosper
Nebraska,Grant,1,Nebraska Grant
Nebraska,Greeley,3,Nebraska Greeley
Nebraska,Hall,36,Nebraska Hall
Nebraska,Hamilton,19,Nebraska Hamilton
Nebraska,Harlan,8,Nebraska Harlan
Nebraska,Hayes,2,Nebraska Hayes
Nebraska,Hitchcock,7,Nebraska Hitchcock
Nebraska,Holt,11,Nebraska Holt
Nebraska,Hooker,2,Nebraska Hooker
Nebraska,Howard,11,Nebraska Howard
Nebraska,Jefferson,14,Nebraska Jefferson
Nebraska,Johnson,11,Nebraska Johnson
Nebraska,Kearney,11,Nebraska Kearney
Nebraska,Keya Paha,1,Nebraska Keya Paha
Nebraska,Kimball,9,Nebraska Kimball
Nebraska,Knox,12,Nebraska Knox
Nebraska,Lancaster,98,Nebraska Lancaster
Nebraska,Lincoln,51,Nebraska Lincoln
Nebraska,Logan,2,Nebraska Logan
Nebraska,Loup,1,Nebraska Loup
Nebraska,Madison,52,Nebraska Madison
Nebraska,McPherson,1,Nebraska McPherson
Nebraska,Merrick,11,Nebraska Merrick
Nebraska,Morrill,8,Nebraska Morrill
Nebraska,Nance,11,Nebraska Nance
Nebraska,Nemaha,5,Nebraska Nemaha
Nebraska,Nuckolls,7,Nebraska Nuckolls
Nebraska,Otoe,26,Nebraska Otoe
Nebraska,Pawnee,5,Nebraska Pawnee
Nebraska,Perkins,8,Nebraska Perkins
Nebraska,Phelps,27,Nebraska Phelps
Nebraska,Pierce,9,Nebraska Pierce
Nebraska,Platte,66,Nebraska Platte
Nebraska,Polk,13,Nebraska Polk
Nebraska,Red Willow,8,Nebraska Red Willow
Nebraska,Richardson,9,Nebraska Richardson
Nebraska,Rock,7,Nebraska Rock
Nebraska,Saline,10,Nebraska Saline
Nebraska,Sarpy,198,Nebraska Sarpy
Nebraska,Saunders,19,Nebraska Saunders
Nebraska,Scotts Bluff,26,Nebraska Scotts Bluff
Nebraska,Seward,23,Nebraska Seward
Nebraska,Sheridan,7,Nebraska Sheridan
Nebraska,Sherman,6,Nebraska Sherman
Nebraska,Sioux,1,Nebraska Sioux
Nebraska,Stanton,8,Nebraska Stanton
Nebraska,Thayer,11,Nebraska Thayer
Nebraska,Thomas,1,Nebraska Thomas
Nebraska,Wayne,6,Nebraska Wayne
Nebraska,Webster,9,Nebraska Webster
Nebraska,Wheeler,2,Nebraska Wheeler
Nebraska,York,23,Nebraska York
Nevada,Carson City,131,Nevada Carson City
Nevada,Churchill,48,Nevada Churchill
Nevada,Douglas,119,Nevada Douglas
Nevada,Elko,69,Nevada Elko
Nevada,Esmeralda,16,Nevada Esmeralda
Nevada,Eureka,19,Nevada Eureka
Nevada,Humboldt,49,Nevada Humboldt
Nevada,Lander,31,Nevada Lander
Nevada,Lincoln,32,Nevada Lincoln
Nevada,Lyon,101,Nevada Lyon
Nevada,Mineral,25,Nevada Mineral
Nevada,Nye,141,Nevada Nye
Nevada,Pershing,19,Nevada Pershing
Nevada,Storey,23,Nevada Storey
Nevada,Washoe,704,Nevada Washoe
Nevada,White Pine,32,Nevada White Pine
New Hampshire,Carroll,24,New Hampshire Carroll
New Hampshire,Cheshire,21,New Hampshire Cheshire
New Hampshire,Merrimack,33,New Hampshire Merrimack
New Hampshire,Rockingham,48,New Hampshire Rockingham
New Jersey,Atlantic,133,New Jersey Atlantic
New Jersey,Bergen,524,New Jersey Bergen
New Jersey,Bergen County Police Department,166,New Jersey Bergen County Police Department
New Jersey,Burlington,87,New Jersey Burlington
New Jersey,Camden,182,New Jersey Camden
New Jersey,Cape May,147,New Jersey Cape May
New Jersey,Cumberland,64,New Jersey Cumberland
New Jersey,Essex,453,New Jersey Essex
New Jersey,Gloucester,102,New Jersey Gloucester
New Jersey,Hudson,340,New Jersey Hudson
New Jersey,Hunterdon,26,New Jersey Hunterdon
New Jersey,Mercer,163,New Jersey Mercer
New Jersey,Middlesex,224,New Jersey Middlesex
New Jersey,Monmouth,562,New Jersey Monmouth
New Jersey,Morris,322,New Jersey Morris
New Jersey,Ocean,238,New Jersey Ocean
New Jersey,Passaic,721,New Jersey Passaic
New Jersey,Salem,194,New Jersey Salem
New Jersey,Somerset,202,New Jersey Somerset
New Jersey,Sussex,154,New Jersey Sussex
New Jersey,Union,214,New Jersey Union
New Jersey,Warren,20,New Jersey Warren
New Mexico,Bernalillo,336,New Mexico Bernalillo
New Mexico,Catron,11,New Mexico Catron
New Mexico,Chaves,51,New Mexico Chaves
New Mexico,Cibola,22,New Mexico Cibola
New Mexico,Colfax,13,New Mexico Colfax
New Mexico,Curry,28,New Mexico Curry
New Mexico,De Baca,5,New Mexico De Baca
New Mexico,Dona Ana,231,New Mexico Dona Ana
New Mexico,Eddy,55,New Mexico Eddy
New Mexico,Grant,41,New Mexico Grant
New Mexico,Guadalupe,4,New Mexico Guadalupe
New Mexico,Hidalgo,13,New Mexico Hidalgo
New Mexico,Lea,66,New Mexico Lea
New Mexico,Lincoln,25,New Mexico Lincoln
New Mexico,Luna,33,New Mexico Luna
New Mexico,McKinley,51,New Mexico McKinley
New Mexico,Mora,7,New Mexico Mora
New Mexico,Otero,58,New Mexico Otero
New Mexico,Quay,8,New Mexico Quay
New Mexico,Rio Arriba,25,New Mexico Rio Arriba
New Mexico,Roosevelt,17,New Mexico Roosevelt
New Mexico,San Juan,121,New Mexico San Juan
New Mexico,San Miguel,10,New Mexico San Miguel
New Mexico,Sandoval,57,New Mexico Sandoval
New Mexico,Santa Fe,101,New Mexico Santa Fe
New Mexico,Sierra,14,New Mexico Sierra
New Mexico,Socorro,15,New Mexico Socorro
New Mexico,Taos,27,New Mexico Taos
New Mexico,Torrance,18,New Mexico Torrance
New Mexico,Union,6,New Mexico Union
New Mexico,Valencia,45,New Mexico Valencia
New York,Albany,168,New York Albany
New York,Allegany,47,New York Allegany
New York,Broome,69,New York Broome
New York,Cattaraugus,88,New York Cattaraugus
New York,Cayuga,45,New York Cayuga
New York,Chautauqua,107,New York Chautauqua
New York,Chemung,53,New York Chemung
New York,Chenango,38,New York Chenango
New York,Clinton,23,New York Clinton
New York,Columbia,57,New York Columbia
New York,Cortland,52,New York Cortland
New York,Delaware,27,New York Delaware
New York,Dutchess,138,New York Dutchess
New York,Erie,196,New York Erie
New York,Essex,6,New York Essex
New York,Franklin,7,New York Franklin
New York,Fulton,43,New York Fulton
New York,Genesee,79,New York Genesee
New York,Greene,31,New York Greene
New York,Hamilton,6,New York Hamilton
New York,Herkimer,15,New York Herkimer
New York,Jefferson,53,New York Jefferson
New York,Lewis,30,New York Lewis
New York,Livingston,74,New York Livingston
New York,Madison,39,New York Madison
New York,Monroe,341,New York Monroe
New York,Montgomery,34,New York Montgomery
New York,Nassau,"3,223",New York Nassau
New York,Niagara,143,New York Niagara
New York,Oneida,113,New York Oneida
New York,Onondaga,266,New York Onondaga
New York,Ontario,101,New York Ontario
New York,Orange,113,New York Orange
New York,Orleans,41,New York Orleans
New York,Oswego,83,New York Oswego
New York,Otsego,19,New York Otsego
New York,Putnam,100,New York Putnam
New York,Rensselaer,38,New York Rensselaer
New York,Rockland,115,New York Rockland
New York,Saratoga,150,New York Saratoga
New York,Schenectady,16,New York Schenectady
New York,Schoharie,29,New York Schoharie
New York,Schuyler,19,New York Schuyler
New York,Seneca,42,New York Seneca
New York,St. Lawrence,34,New York St. Lawrence
New York,Steuben,55,New York Steuben
New York,Suffolk,413,New York Suffolk
New York,Suffolk County Police Department,"3,117",New York Suffolk County Police Department
New York,Sullivan,47,New York Sullivan
New York,Tioga,49,New York Tioga
New York,Tompkins,41,New York Tompkins
New York,Ulster,78,New York Ulster
New York,Warren,109,New York Warren
New York,Washington,37,New York Washington
New York,Wayne,58,New York Wayne
New York,Westchester Public Safety,330,New York Westchester Public Safety
New York,Wyoming,41,New York Wyoming
New York,Yates,45,New York Yates
North Carolina,Alamance,270,North Carolina Alamance
North Carolina,Alexander,46,North Carolina Alexander
North Carolina,Alleghany,28,North Carolina Alleghany
North Carolina,Anson,60,North Carolina Anson
North Carolina,Ashe,54,North Carolina Ashe
North Carolina,Avery,33,North Carolina Avery
North Carolina,Beaufort,82,North Carolina Beaufort
North Carolina,Bertie,33,North Carolina Bertie
North Carolina,Bladen,66,North Carolina Bladen
North Carolina,Brunswick,200,North Carolina Brunswick
North Carolina,Buncombe,376,North Carolina Buncombe
North Carolina,Burke,118,North Carolina Burke
North Carolina,Cabarrus,238,North Carolina Cabarrus
North Carolina,Caldwell,120,North Carolina Caldwell
North Carolina,Camden,18,North Carolina Camden
North Carolina,Carteret,91,North Carolina Carteret
North Carolina,Caswell,47,North Carolina Caswell
North Carolina,Catawba,176,North Carolina Catawba
North Carolina,Chatham,99,North Carolina Chatham
North Carolina,Cherokee,65,North Carolina Cherokee
North Carolina,Chowan,35,North Carolina Chowan
North Carolina,Clay,41,North Carolina Clay
North Carolina,Cleveland,126,North Carolina Cleveland
North Carolina,Columbus,109,North Carolina Columbus
North Carolina,Craven,122,North Carolina Craven
North Carolina,Cumberland,529,North Carolina Cumberland
North Carolina,Currituck,99,North Carolina Currituck
North Carolina,Dare,138,North Carolina Dare
North Carolina,Davidson,191,North Carolina Davidson
North Carolina,Davie,78,North Carolina Davie
North Carolina,Duplin,89,North Carolina Duplin
North Carolina,Durham,421,North Carolina Durham
North Carolina,Edgecombe,134,North Carolina Edgecombe
North Carolina,Forsyth,527,North Carolina Forsyth
North Carolina,Franklin,106,North Carolina Franklin
North Carolina,Gaston,211,North Carolina Gaston
North Carolina,Gaston County Police Department,224,North Carolina Gaston County Police Department
North Carolina,Gates,13,North Carolina Gates
North Carolina,Graham,23,North Carolina Graham
North Carolina,Granville,88,North Carolina Granville
North Carolina,Greene,46,North Carolina Greene
North Carolina,Guilford,557,North Carolina Guilford
North Carolina,Halifax,87,North Carolina Halifax
North Carolina,Harnett,199,North Carolina Harnett
North Carolina,Haywood,82,North Carolina Haywood
North Carolina,Henderson,187,North Carolina Henderson
North Carolina,Hertford,50,North Carolina Hertford
North Carolina,Hoke,95,North Carolina Hoke
North Carolina,Hyde,20,North Carolina Hyde
North Carolina,Iredell,219,North Carolina Iredell
North Carolina,Jackson,72,North Carolina Jackson
North Carolina,Johnston,181,North Carolina Johnston
North Carolina,Jones,22,North Carolina Jones
North Carolina,Lee,37,North Carolina Lee
North Carolina,Lenoir,102,North Carolina Lenoir
North Carolina,Lincoln,158,North Carolina Lincoln
North Carolina,Macon,65,North Carolina Macon
North Carolina,Madison,24,North Carolina Madison
North Carolina,Martin,36,North Carolina Martin
North Carolina,McDowell,62,North Carolina McDowell
North Carolina,Mecklenburg1,"1,236",North Carolina Mecklenburg1
North Carolina,Mitchell,15,North Carolina Mitchell
North Carolina,Montgomery,52,North Carolina Montgomery
North Carolina,Moore,114,North Carolina Moore
North Carolina,Nash,134,North Carolina Nash
North Carolina,New Hanover,386,North Carolina New Hanover
North Carolina,Northampton,52,North Carolina Northampton
North Carolina,Onslow,117,North Carolina Onslow
North Carolina,Orange,139,North Carolina Orange
North Carolina,Pamlico,48,North Carolina Pamlico
North Carolina,Pasquotank,46,North Carolina Pasquotank
North Carolina,Pender,95,North Carolina Pender
North Carolina,Perquimans,14,North Carolina Perquimans
North Carolina,Person,47,North Carolina Person
North Carolina,Pitt,321,North Carolina Pitt
North Carolina,Polk,34,North Carolina Polk
North Carolina,Randolph,216,North Carolina Randolph
North Carolina,Richmond,56,North Carolina Richmond
North Carolina,Robeson,228,North Carolina Robeson
North Carolina,Rockingham,140,North Carolina Rockingham
North Carolina,Rowan,161,North Carolina Rowan
North Carolina,Rutherford,126,North Carolina Rutherford
North Carolina,Sampson,133,North Carolina Sampson
North Carolina,Scotland,69,North Carolina Scotland
North Carolina,Stanly,88,North Carolina Stanly
North Carolina,Stokes,64,North Carolina Stokes
North Carolina,Surry,97,North Carolina Surry
North Carolina,Swain,41,North Carolina Swain
North Carolina,Transylvania,78,North Carolina Transylvania
North Carolina,Tyrrell,16,North Carolina Tyrrell
North Carolina,Union,249,North Carolina Union
North Carolina,Vance,91,North Carolina Vance
North Carolina,Wake,801,North Carolina Wake
North Carolina,Warren,64,North Carolina Warren
North Carolina,Washington,40,North Carolina Washington
North Carolina,Watauga,87,North Carolina Watauga
North Carolina,Wayne,152,North Carolina Wayne
North Carolina,Wilkes,115,North Carolina Wilkes
North Carolina,Wilson,141,North Carolina Wilson
North Carolina,Yadkin,45,North Carolina Yadkin
North Carolina,Yancey,33,North Carolina Yancey
North Dakota,Adams,4,North Dakota Adams
North Dakota,Barnes,7,North Dakota Barnes
North Dakota,Benson,4,North Dakota Benson
North Dakota,Billings,4,North Dakota Billings
North Dakota,Bottineau,14,North Dakota Bottineau
North Dakota,Bowman,3,North Dakota Bowman
North Dakota,Burke,4,North Dakota Burke
North Dakota,Burleigh,81,North Dakota Burleigh
North Dakota,Cass,138,North Dakota Cass
North Dakota,Cavalier,11,North Dakota Cavalier
North Dakota,Dickey,5,North Dakota Dickey
North Dakota,Divide,4,North Dakota Divide
North Dakota,Dunn,7,North Dakota Dunn
North Dakota,Eddy,5,North Dakota Eddy
North Dakota,Emmons,4,North Dakota Emmons
North Dakota,Foster,3,North Dakota Foster
North Dakota,Golden Valley,4,North Dakota Golden Valley
North Dakota,Grand Forks,37,North Dakota Grand Forks
North Dakota,Grant,4,North Dakota Grant
North Dakota,Griggs,5,North Dakota Griggs
North Dakota,Hettinger,3,North Dakota Hettinger
North Dakota,Kidder,4,North Dakota Kidder
North Dakota,Lamoure,5,North Dakota Lamoure
North Dakota,Logan,2,North Dakota Logan
North Dakota,McHenry,7,North Dakota McHenry
North Dakota,McIntosh,3,North Dakota McIntosh
North Dakota,McKenzie,17,North Dakota McKenzie
North Dakota,McLean,31,North Dakota McLean
North Dakota,Mercer,23,North Dakota Mercer
North Dakota,Morton,35,North Dakota Morton
North Dakota,Mountrail,15,North Dakota Mountrail
North Dakota,Nelson,5,North Dakota Nelson
North Dakota,Oliver,5,North Dakota Oliver
North Dakota,Pembina,13,North Dakota Pembina
North Dakota,Pierce,7,North Dakota Pierce
North Dakota,Ramsey,7,North Dakota Ramsey
North Dakota,Ransom,5,North Dakota Ransom
North Dakota,Renville,5,North Dakota Renville
North Dakota,Richland,25,North Dakota Richland
North Dakota,Rolette,16,North Dakota Rolette
North Dakota,Sargent,5,North Dakota Sargent
North Dakota,Sheridan,2,North Dakota Sheridan
North Dakota,Sioux,1,North Dakota Sioux
North Dakota,Slope,1,North Dakota Slope
North Dakota,Stark,16,North Dakota Stark
North Dakota,Steele,3,North Dakota Steele
North Dakota,Stutsman,10,North Dakota Stutsman
North Dakota,Towner,3,North Dakota Towner
North Dakota,Traill,13,North Dakota Traill
North Dakota,Walsh,16,North Dakota Walsh
North Dakota,Ward,48,North Dakota Ward
North Dakota,Wells,3,North Dakota Wells
North Dakota,Williams,34,North Dakota Williams
Ohio,Allen,145,Ohio Allen
Ohio,Ashland,68,Ohio Ashland
Ohio,Ashtabula,56,Ohio Ashtabula
Ohio,Auglaize,56,Ohio Auglaize
Ohio,Belmont,61,Ohio Belmont
Ohio,Brown,43,Ohio Brown
Ohio,Carroll,25,Ohio Carroll
Ohio,Champaign,25,Ohio Champaign
Ohio,Clark,170,Ohio Clark
Ohio,Clermont,183,Ohio Clermont
Ohio,Clinton,67,Ohio Clinton
Ohio,Crawford,53,Ohio Crawford
Ohio,Cuyahoga,"1,075",Ohio Cuyahoga
Ohio,Darke,63,Ohio Darke
Ohio,Defiance,36,Ohio Defiance
Ohio,Delaware,209,Ohio Delaware
Ohio,Erie,67,Ohio Erie
Ohio,Fairfield,127,Ohio Fairfield
Ohio,Fayette,32,Ohio Fayette
Ohio,Franklin,869,Ohio Franklin
Ohio,Fulton,31,Ohio Fulton
Ohio,Geauga,117,Ohio Geauga
Ohio,Greene,138,Ohio Greene
Ohio,Guernsey,41,Ohio Guernsey
Ohio,Hamilton,822,Ohio Hamilton
Ohio,Hancock,82,Ohio Hancock
Ohio,Harrison,18,Ohio Harrison
Ohio,Henry,20,Ohio Henry
Ohio,Highland,47,Ohio Highland
Ohio,Hocking,25,Ohio Hocking
Ohio,Huron,69,Ohio Huron
Ohio,Jefferson,61,Ohio Jefferson
Ohio,Lake,196,Ohio Lake
Ohio,Licking,182,Ohio Licking
Ohio,Logan,72,Ohio Logan
Ohio,Marion,33,Ohio Marion
Ohio,Medina,85,Ohio Medina
Ohio,Meigs,15,Ohio Meigs
Ohio,Mercer,48,Ohio Mercer
Ohio,Miami,85,Ohio Miami
Ohio,Monroe,20,Ohio Monroe
Ohio,Montgomery,442,Ohio Montgomery
Ohio,Morgan,13,Ohio Morgan
Ohio,Morrow,48,Ohio Morrow
Ohio,Muskingum,115,Ohio Muskingum
Ohio,Noble,15,Ohio Noble
Ohio,Ottawa,58,Ohio Ottawa
Ohio,Paulding,21,Ohio Paulding
Ohio,Perry,16,Ohio Perry
Ohio,Pickaway,86,Ohio Pickaway
Ohio,Portage,128,Ohio Portage
Ohio,Preble,45,Ohio Preble
Ohio,Putnam,54,Ohio Putnam
Ohio,Richland,101,Ohio Richland
Ohio,Sandusky,53,Ohio Sandusky
Ohio,Scioto,71,Ohio Scioto
Ohio,Seneca,83,Ohio Seneca
Ohio,Shelby,59,Ohio Shelby
Ohio,Stark,220,Ohio Stark
Ohio,Trumbull,138,Ohio Trumbull
Ohio,Tuscarawas,98,Ohio Tuscarawas
Ohio,Van Wert,35,Ohio Van Wert
Ohio,Vinton,15,Ohio Vinton
Ohio,Warren,182,Ohio Warren
Ohio,Washington,82,Ohio Washington
Ohio,Wayne,57,Ohio Wayne
Ohio,Williams,21,Ohio Williams
Ohio,Wyandot,24,Ohio Wyandot
Oklahoma,Adair,33,Oklahoma Adair
Oklahoma,Alfalfa,9,Oklahoma Alfalfa
Oklahoma,Atoka,8,Oklahoma Atoka
Oklahoma,Beaver,13,Oklahoma Beaver
Oklahoma,Beckham,33,Oklahoma Beckham
Oklahoma,Blaine,15,Oklahoma Blaine
Oklahoma,Bryan,17,Oklahoma Bryan
Oklahoma,Caddo,31,Oklahoma Caddo
Oklahoma,Canadian,59,Oklahoma Canadian
Oklahoma,Carter,57,Oklahoma Carter
Oklahoma,Cherokee,32,Oklahoma Cherokee
Oklahoma,Choctaw,14,Oklahoma Choctaw
Oklahoma,Cimarron,10,Oklahoma Cimarron
Oklahoma,Cleveland,122,Oklahoma Cleveland
Oklahoma,Coal,10,Oklahoma Coal
Oklahoma,Comanche,40,Oklahoma Comanche
Oklahoma,Cotton,11,Oklahoma Cotton
Oklahoma,Craig,25,Oklahoma Craig
Oklahoma,Creek,69,Oklahoma Creek
Oklahoma,Custer,35,Oklahoma Custer
Oklahoma,Delaware,45,Oklahoma Delaware
Oklahoma,Dewey,11,Oklahoma Dewey
Oklahoma,Ellis,15,Oklahoma Ellis
Oklahoma,Garfield,61,Oklahoma Garfield
Oklahoma,Garvin,28,Oklahoma Garvin
Oklahoma,Grady,21,Oklahoma Grady
Oklahoma,Grant,9,Oklahoma Grant
Oklahoma,Greer,7,Oklahoma Greer
Oklahoma,Harmon,4,Oklahoma Harmon
Oklahoma,Harper,8,Oklahoma Harper
