state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
WI,Shawano County,10.1,41949.0,0.25607285,0.74392715,0.000858185,0.018832392,0.001787885,27322.14864,33845.34812,29430.93317,0.004942668,0.510677485,0.474787197,0.014535318,25.21,82.0,12.0,11.0,0.5,2.5745548165629693,88.09,0.31,0.43,7.21,2.16,1.96
WI,Sheboygan County,9.1,115507.0,0.717151341,0.282848659,0.001532375,0.018466413,0.001887332,31110.47066,43007.94462,37090.96121,0.002166882,0.48939733,0.495934436,0.014668234,20.56,90.0,21.0,7.0,0.7,1.53237466127594,87.03,1.39,4.57,0.34,5.48,1.62
WI,Taylor County,10.1,20689.0,0.195562859,0.804437141,0.000580018,0.019768959,0.001450046,28534.50327,31123.64096,29933.98934,0.00243076,0.488230259,0.490691205,0.021078536,22.31,97.0,13.0,8.0,0.0,2.0300642853690367,97.2,0.26,0.26,0.2,1.53,0.72
WI,Trempealeau County,7.4,28816.0,0.103865908,0.896134092,0.000520544,0.019988895,0.001145197,27004.47336,0.0,33914.39584,0.001308648,0.624981223,0.361123629,0.013895148,21.57,91.0,17.0,8.0,0.4,1.7698500832870627,92.91,0.19,0.41,0.17,5.78,0.86
WI,Vernon County,7.8,29773.0,0.143082659,0.856917341,0.000335875,0.018976925,0.001108387,23544.41323,39613.82114,28745.06651,0.001832869,0.601278863,0.381314387,0.01740675,23.8,94.0,18.0,6.0,0.0,1.5450240150471903,96.98,0.36,0.31,0.18,1.32,0.92
WI,Vilas County,11.1,21430.0,0.0,1.0,0.000559963,0.041903873,0.001586561,24780.29115,24540.36827,24722.64761,0.003846477,0.472072727,0.513090909,0.014836364,24.82,86.0,26.0,6.0,0.9,3.4531031264582364,86.54,0.14,0.28,10.69,1.25,1.21
WI,Walworth County,8.9,102228.0,0.658029111,0.341970889,0.001027116,0.022322651,0.001526001,30518.82487,35638.17912,32324.92385,0.003010036,0.479493078,0.505434136,0.015072786,22.42,86.0,25.0,7.0,1.1,2.054231717337716,86.76,0.88,0.8,0.19,10.35,1.48
WI,Washburn County,9.5,15911.0,0.167996983,0.832003017,0.001068443,0.029350764,0.001885488,23326.68849,33104.30464,25911.79689,0.001221168,0.515035119,0.472234416,0.012730465,23.85,95.0,17.0,8.0,1.2,2.1368864307711646,95.71,0.16,0.37,1.09,1.31,1.46
WI,Washington County,7.9,131887.0,0.692153131,0.307846869,0.000621744,0.020312844,0.001410298,36415.06878,37808.03571,36924.05872,0.001645348,0.345634382,0.641423983,0.012941635,19.92,100.0,25.0,9.0,0.6,1.3193112285517148,94.28,0.85,1.06,0.26,2.57,1.15
WI,Waukesha County,7.2,389891.0,0.901395518,0.098604482,0.000679677,0.025691796,0.001918485,42149.99206,51923.51368,46728.9617,0.001718429,0.366423784,0.623245469,0.010330747,17.64,96.0,38.0,6.0,0.3,0.8592144984110943,90.57,1.21,2.74,0.22,4.14,1.3
