,state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,popul_single_paren_prc_unemployment_rate_2010,AsianNonHispanicPct2010_population_total_2010,rural_population_prc_urban_population_prc,avg_ann_pay_per_emp_large_urban_population_prc,avg_ann_pay_per_emp_total_urban_population_prc,popul_college_grad_prc_urban_population_prc,AsianNonHispanicPct2010_urban_population_prc,urban_population_prc_rural_population_prc,liquor_stores_per10k_per_capita_sme_num,avg_ann_pay_per_emp_total_avg_ann_pay_per_emp_sme,AsianNonHispanicPct2010_avg_ann_pay_per_emp_sme,urban_population_prc_avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total_avg_ann_pay_per_emp_large,urban_population_prc_avg_ann_pay_per_emp_total,avg_ann_pay_per_emp_sme_avg_ann_pay_per_emp_total,avg_ann_pay_per_emp_large_avg_ann_pay_per_emp_total,popul_college_grad_prc_avg_ann_pay_per_emp_total,AsianNonHispanicPct2010_avg_ann_pay_per_emp_total,2008_rep_%_vote_2008_dem_%_vote,2008_dem_%_vote_2008_rep_%_vote,popul_college_grad_prc_smoke_percent_2010,popul_single_paren_prc_popul_hs_grad_prc,WhiteNonHispanicPct2010_popul_hs_grad_prc,urban_population_prc_popul_college_grad_prc,avg_ann_pay_per_emp_total_popul_college_grad_prc,smoke_percent_2010_popul_college_grad_prc,AsianNonHispanicPct2010_popul_college_grad_prc,unemployment_rate_2010_popul_single_paren_prc,popul_hs_grad_prc_popul_single_paren_prc,WhiteNonHispanicPct2010_popul_single_paren_prc,BlackNonHispanicPct2010_popul_single_paren_prc,per_capita_sme_num_liquor_stores_per10k,popul_hs_grad_prc_WhiteNonHispanicPct2010,popul_single_paren_prc_WhiteNonHispanicPct2010,BlackNonHispanicPct2010_WhiteNonHispanicPct2010,HispanicPct2010_WhiteNonHispanicPct2010,popul_single_paren_prc_BlackNonHispanicPct2010,WhiteNonHispanicPct2010_BlackNonHispanicPct2010,population_total_2010_AsianNonHispanicPct2010,urban_population_prc_AsianNonHispanicPct2010,avg_ann_pay_per_emp_sme_AsianNonHispanicPct2010,avg_ann_pay_per_emp_total_AsianNonHispanicPct2010,popul_college_grad_prc_AsianNonHispanicPct2010,WhiteNonHispanicPct2010_HispanicPct2010
2218,TX,Madison County,8.4,13664.0,0.325966042,0.674033958,0.003951991,0.013392857,0.00161007,24646.12676,29932.67652,27411.76471,0.002729069,0.281296024,0.709621993,0.009081983,25.77,74.0,12.0,8.0,0.0,1.756440281030445,58.77,19.66,0.56,0.23,19.67,1.75,67.2,7651.840000000001,0.21971218146285423,9757.036091690734,8935.304446753978,3.911592504,0.18254098352000003,0.21971218146285423,0.0,675593827.7579546,13801.830985600001,9757.036091690734,820507485.9067817,8935.304446753978,675593827.7579546,820507485.9067817,328941.17652,15350.5882376,0.1996138451738558,0.1996138451738558,309.24,592.0,4348.9800000000005,3.911592504,328941.17652,309.24,6.720000000000001,67.2,592.0,470.16,157.28,0.0,4348.9800000000005,470.16,1155.4182,1156.0059,157.28,1155.4182,7651.840000000001,0.18254098352000003,13801.830985600001,15350.5882376,6.720000000000001,1156.0059
2219,TX,Marion County,11.9,10546.0,0.0,1.0,0.000568936,0.013559643,0.001137872,26224.97861,30093.56725,26718.65672,0.002926228,0.38664158,0.603715898,0.009642521,26.67,86.0,8.0,8.0,4.6,1.4223402237815286,71.72,21.99,0.47,0.68,3.11,2.14,95.2,4956.62,0.0,0.0,0.0,0.0,0.0,0.0,0.062374357799999995,700696200.9699327,12325.739946699998,0.0,804059692.8329844,0.0,700696200.9699327,804059692.8329844,213749.25376,12557.768658399998,0.23342166867383884,0.23342166867383884,213.36,688.0,6167.92,0.0,213749.25376,213.36,3.76,95.2,688.0,573.76,175.92,0.062374357799999995,6167.92,573.76,1577.1227999999999,223.04919999999998,175.92,1577.1227999999999,4956.62,0.0,12325.739946699998,12557.768658399998,3.76,223.04919999999998
2220,TX,Martin County,6.0,4799.0,0.0,1.0,0.000416753,0.01729527,0.001875391,33369.43907,35206.06061,36576.63317,0.001102313,0.183090379,0.809912536,0.006997085,22.01,87.0,12.0,10.0,0.0,1.6670139612419257,53.72,1.4,0.23,0.31,43.47,1.77,60.0,1103.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220541731.952056,7674.9709861,0.0,1287719164.2927566,0.0,1220541731.952056,1287719164.2927566,438919.59804,8412.6256291,0.14828719317309114,0.14828719317309114,264.12,870.0,4673.64,0.0,438919.59804,264.12,2.7600000000000002,60.0,870.0,537.2,14.0,0.0,4673.64,537.2,75.208,2335.2084,14.0,75.208,1103.77,0.0,7674.9709861,8412.6256291,2.7600000000000002,2335.2084
2221,TX,Mason County,6.3,4012.0,0.0,1.0,0.023928215,0.030907278,0.001495513,26003.57143,26553.57143,21658.5695,0.000498504,0.257425743,0.72795851,0.014615747,17.84,100.0,19.0,6.0,0.0,2.243270189431705,77.07,0.35,0.17,0.27,21.54,0.97,37.8,682.0400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563200159.0648694,4420.6071431,0.0,575112372.2898694,0.0,563200159.0648694,575112372.2898694,411512.82050000003,3681.9568150000005,0.18739526030992293,0.18739526030992293,338.96,600.0,7706.999999999999,0.0,411512.82050000003,338.96,3.2300000000000004,37.8,600.0,462.41999999999996,2.0999999999999996,0.0,7706.999999999999,462.41999999999996,26.974499999999995,1660.0877999999998,2.0999999999999996,26.974499999999995,682.0400000000001,0.0,4420.6071431,3681.9568150000005,3.2300000000000004,1660.0877999999998
2222,TX,Matagorda County,11.5,36702.0,0.635823661,0.364176339,0.003569288,0.016865566,0.002261457,25149.72646,0.0,46634.8106,0.004441175,0.358845874,0.633233654,0.007920472,23.28,76.0,12.0,10.0,1.1,2.0707318402266903,47.41,11.06,1.89,0.28,38.35,2.32,115.0,69366.78,0.2315519331125571,0.0,29651.516005733603,7.629883932,1.20170671929,0.2315519331125571,0.0185521226,1172852730.1039085,47532.9830094,0.0,0.0,29651.516005733603,1172852730.1039085,0.0,559617.7272,88139.79203399998,0.22723328401584358,0.22723328401584358,279.36,760.0,3603.16,7.629883932,559617.7272,279.36,22.68,115.0,760.0,474.09999999999997,110.60000000000001,0.0185521226,3603.16,474.09999999999997,524.3546,1818.1734999999999,110.60000000000001,524.3546,69366.78,1.20170671929,47532.9830094,88139.79203399998,22.68,1818.1734999999999
2223,TX,Maverick County,15.2,54258.0,0.907442221,0.092557779,0.00160345,0.011076708,0.001843046,23860.67708,19277.7363,21145.77621,0.002772494,0.781972758,0.211719536,0.006307706,17.8,74.0,9.0,10.0,0.6,1.714032953665819,2.86,0.14,0.26,0.93,95.68,1.0,152.0,14107.08,0.08399083654658716,17493.431843924325,19188.570128771364,8.166979989,0.23593497746000003,0.08399083654658716,0.0066460248,504552537.7527563,6203.7760408,17493.431843924325,407642697.6351934,19188.570128771364,504552537.7527563,407642697.6351934,190311.98589,5497.9018146,0.1655589094884003,0.1655589094884003,160.20000000000002,740.0,211.64,8.166979989,190311.98589,160.20000000000002,2.34,152.0,740.0,28.599999999999998,1.4000000000000001,0.0066460248,211.64,28.599999999999998,0.40040000000000003,273.64480000000003,1.4000000000000001,0.40040000000000003,14107.08,0.23593497746000003,6203.7760408,5497.9018146,2.34,273.64480000000003
2224,TX,Medina County,7.6,46006.0,0.384449854,0.615550146,2.17e-05,0.012367952,0.000891188,25991.08609,23466.66667,25497.92374,0.001695431,0.327063608,0.665946496,0.006989896,19.0,74.0,13.0,9.0,1.4,1.412859192279268,46.53,1.98,0.59,0.32,49.71,2.2,68.39999999999999,27143.539999999997,0.23664816375937867,9021.756575148165,9802.673059146133,4.997848102,0.22682541385999996,0.23664816375937867,0.017315132799999997,662718731.0425948,15334.7407931,9021.756575148165,598351277.1836597,9802.673059146133,662718731.0425948,598351277.1836597,331473.00862,15043.775006599999,0.21780686371671756,0.21780686371671756,247.0,666.0,3443.2200000000003,4.997848102,331473.00862,247.0,7.67,68.39999999999999,666.0,418.77,17.82,0.017315132799999997,3443.2200000000003,418.77,92.1294,2313.0063,17.82,92.1294,27143.539999999997,0.22682541385999996,15334.7407931,15043.775006599999,7.67,2313.0063
2225,TX,Menard County,7.5,2242.0,0.0,1.0,0.201159679,0.019625335,0.001338091,17010.86957,0.0,16987.06897,0.002421945,0.28978389,0.699410609,0.010805501,22.0,86.0,17.0,8.0,0.0,4.460303300624442,63.56,0.49,0.13,0.27,35.24,1.65,60.0,291.46000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288964814.6252642,2211.4130440999998,0.0,0.0,0.0,288964814.6252642,0.0,288780.17249,2208.3189661,0.202677926983289,0.202677926983289,374.0,688.0,5466.16,0.0,288780.17249,374.0,2.21,60.0,688.0,508.48,3.92,0.0,5466.16,508.48,31.1444,2239.8544,3.92,31.1444,291.46000000000004,0.0,2211.4130440999998,2208.3189661,2.21,2239.8544
2226,TX,Midland County,5.9,136872.0,0.877082237,0.122917763,0.000270326,0.027032556,0.002966275,47795.3812,52067.41806,49520.27773,0.002436072,0.209689285,0.782304829,0.008005885,20.87,73.0,25.0,10.0,1.1,1.2931790285814484,53.2,6.34,1.2,0.4,37.7,2.39,59.0,164246.4,0.10780898653907584,45667.407506879004,43433.35596828968,21.927055925,1.0524986844,0.10780898653907584,0.029735811600000002,2366840551.235221,57354.457440000006,45667.407506879004,2578393003.0152183,43433.35596828968,2366840551.235221,2578393003.0152183,1238006.94325,59424.333276,0.16404094024505728,0.16404094024505728,521.75,730.0,3883.6000000000004,21.927055925,1238006.94325,521.75,30.0,59.0,730.0,532.0,63.4,0.029735811600000002,3883.6000000000004,532.0,337.288,2005.6400000000003,63.4,337.288,164246.4,1.0524986844,57354.457440000006,59424.333276,30.0,2005.6400000000003
2227,TX,Milam County,11.3,24757.0,0.438179101,0.561820899,8.08e-05,0.014298986,0.001292564,27738.01423,40559.66209,30642.82297,0.003167993,0.364245543,0.624267081,0.011487376,23.63,80.0,12.0,9.0,0.4,2.3427717413256857,65.5,9.61,0.38,0.31,23.35,1.78,101.7,9407.66,0.2461781764468318,17772.39627145998,13427.044621096751,5.258149212,0.16650805838000002,0.2461781764468318,0.0057195944,849971059.5892309,10540.4454074,17772.39627145998,1242862545.1468902,13427.044621096751,849971059.5892309,1242862545.1468902,367713.87564,11644.2727286,0.22738650189586998,0.22738650189586998,283.56,720.0,5240.0,5.258149212,367713.87564,283.56,4.5600000000000005,101.7,720.0,589.5,86.49,0.0057195944,5240.0,589.5,629.4549999999999,1529.4250000000002,86.49,629.4549999999999,9407.66,0.16650805838000002,10540.4454074,11644.2727286,4.5600000000000005,1529.4250000000002
